Year,Size,Gender,Education,Age,Service_Length,Monthly_Wage,Annual_Bonus,Employees,Total_Annual_Income
2001,Large (1000+),Male,9.0,27.0,3.5,243100,543400,490,3460600
2001,Large (1000+),Male,9.0,27.0,7.0,266400,796400,2280,3993200
2001,Large (1000+),Male,9.0,27.0,12.0,264200,1029700,1690,4200100
2001,Large (1000+),Male,9.0,32.0,0.0,237700,41300,390,2893700
2001,Large (1000+),Male,9.0,32.0,1.5,203500,529300,540,2971300
2001,Large (1000+),Male,9.0,32.0,3.5,288800,811600,950,4277200
2001,Large (1000+),Male,9.0,32.0,7.0,270800,942700,2380,4192300
2001,Large (1000+),Male,9.0,32.0,12.0,285800,1055300,2060,4484900
2001,Large (1000+),Male,9.0,32.0,17.0,322800,1286400,1750,5160000
2001,Large (1000+),Male,9.0,37.0,0.0,232900,39100,260,2833900
2001,Large (1000+),Male,9.0,37.0,1.5,206800,265500,210,2747100
2001,Large (1000+),Male,9.0,37.0,3.5,261200,820900,350,3955300
2001,Large (1000+),Male,9.0,37.0,7.0,270600,1028100,1770,4275300
2001,Large (1000+),Male,9.0,37.0,12.0,308000,1178500,1580,4874500
2001,Large (1000+),Male,9.0,37.0,17.0,323300,1310400,1650,5190000
2001,Large (1000+),Male,9.0,37.0,22.0,337600,1394700,2380,5445900
2001,Large (1000+),Male,9.0,42.0,0.0,238400,69100,400,2929900
2001,Large (1000+),Male,9.0,42.0,1.5,198200,335600,370,2714000
2001,Large (1000+),Male,9.0,42.0,3.5,250500,945000,90,3951000
2001,Large (1000+),Male,9.0,42.0,7.0,297400,1114400,960,4683200
2001,Large (1000+),Male,9.0,42.0,12.0,304700,959000,2560,4615400
2001,Large (1000+),Male,9.0,42.0,17.0,324800,1323200,1310,5220800
2001,Large (1000+),Male,9.0,42.0,22.0,360400,1326700,2070,5651500
2001,Large (1000+),Male,9.0,42.0,27.0,360300,1600100,8200,5923700
2001,Large (1000+),Male,9.0,47.0,0.0,232700,20500,250,2812900
2001,Large (1000+),Male,9.0,47.0,1.5,227600,275200,70,3006400
2001,Large (1000+),Male,9.0,47.0,3.5,301600,692900,330,4312100
2001,Large (1000+),Male,9.0,47.0,7.0,275500,902200,1390,4208200
2001,Large (1000+),Male,9.0,47.0,12.0,298600,1068200,1890,4651400
2001,Large (1000+),Male,9.0,47.0,17.0,330200,1292900,2660,5255300
2001,Large (1000+),Male,9.0,47.0,22.0,352800,1333500,3800,5567100
2001,Large (1000+),Male,9.0,47.0,27.0,363900,1523800,8050,5890600
2001,Large (1000+),Male,9.0,47.0,30.0,389700,1718500,23150,6394900
2001,Large (1000+),Male,9.0,52.0,0.0,268400,24200,430,3245000
2001,Large (1000+),Male,9.0,52.0,1.5,229800,756700,830,3514300
2001,Large (1000+),Male,9.0,52.0,3.5,249900,646900,660,3645700
2001,Large (1000+),Male,9.0,52.0,7.0,302600,1058900,1810,4690100
2001,Large (1000+),Male,9.0,52.0,12.0,315100,1055200,2140,4836400
2001,Large (1000+),Male,9.0,52.0,17.0,324800,1185800,3110,5083400
2001,Large (1000+),Male,9.0,52.0,22.0,362700,1464500,6670,5816900
2001,Large (1000+),Male,9.0,52.0,27.0,382600,1550800,12880,6142000
2001,Large (1000+),Male,9.0,52.0,30.0,421500,1886500,58660,6944500
2001,Large (1000+),Male,9.0,57.0,0.0,349300,165100,280,4356700
2001,Large (1000+),Male,9.0,57.0,1.5,241600,649600,1090,3548800
2001,Large (1000+),Male,9.0,57.0,3.5,252600,712200,910,3743400
2001,Large (1000+),Male,9.0,57.0,7.0,317400,992500,2360,4801300
2001,Large (1000+),Male,9.0,57.0,12.0,278900,888500,1630,4235300
2001,Large (1000+),Male,9.0,57.0,17.0,341200,1316100,2070,5410500
2001,Large (1000+),Male,9.0,57.0,22.0,351400,1265100,4630,5481900
2001,Large (1000+),Male,9.0,57.0,27.0,371400,1510200,11320,5967000
2001,Large (1000+),Male,9.0,57.0,30.0,416400,1837400,67770,6834200
