年,産業分類,規模,現金給与総額,きまって支給する給与,所定内給与,所定外給与,特別給与,総実労働時間,所定内労働時間,所定外労働時間,出勤日数,前月末労働者数,本月末労働者数,増加労働者数,減少労働者数
2002,E,M,362610.0,300495.0,274324.6666666667,26170.333333333332,62115.0,171.83333333333334,157.63333333333333,14.200000000000001,20.5,6141756.0,6121686.0,59997.0,80349.0
2002,E,T,405109.0,325464.0,293297.0,32167.0,79645.0,169.8,154.8,15.0,20.1,8168979.0,8139742.0,76615.0,106141.0
2002,F,4,668172.0,485463.0,429377.0,56086.0,182709.0,160.5,145.6,14.9,19.2,41420.0,41410.0,638.0,648.0
2002,F,M,593720.0,437521.6666666667,395116.3333333333,42405.333333333336,156198.33333333334,154.76666666666665,144.4,10.366666666666667,18.900000000000002,252710.0,252529.0,3668.0,3823.0
2002,F,T,606869.0,446472.0,400899.0,45573.0,160397.0,155.6,144.3,11.3,18.9,294130.0,293937.0,4306.0,4471.0
2002,G,4,645866.0,472398.0,410641.0,61757.0,173468.0,164.4,143.3,21.1,19.4,211826.0,209475.0,3271.0,5616.0
2002,G,M,464890.3333333333,361976.6666666667,331774.6666666667,30202.0,102913.66666666667,167.53333333333333,150.0666666666667,17.466666666666665,19.933333333333334,1080414.0,1079750.0,16487.0,17222.0
2002,G,T,505006.0,385815.0,349480.0,36335.0,119191.0,166.6,148.7,17.9,19.8,1292240.0,1289224.0,19757.0,22838.0
2002,H,4,594948.0,457507.0,409865.0,47642.0,137441.0,166.9,151.2,15.7,20.3,162929.0,162793.0,2418.0,2554.0
2002,H,M,382039.0,319949.6666666667,282244.6666666667,37705.0,62089.333333333336,184.26666666666665,161.26666666666668,23.0,21.2,2290812.0,2287869.0,29106.0,32561.0
2002,H,T,394855.0,328277.0,290021.0,38256.0,66578.0,183.3,160.7,22.6,21.1,2453741.0,2450661.0,31523.0,35115.0
2002,I,4,586080.0,417400.0,396068.0,21332.0,168680.0,157.9,149.5,8.4,19.9,306547.0,305576.0,3160.0,4141.0
2002,I,M,416702.6666666667,331821.3333333333,318282.6666666667,13538.666666666666,84881.33333333333,168.36666666666667,160.5,7.866666666666667,21.0,5185482.0,5170707.0,76632.0,91270.0
2002,I,T,397954.0,320845.0,308413.0,12432.0,77109.0,169.5,161.7,7.8,21.2,5492029.0,5476283.0,79792.0,95410.0
2002,J,4,718767.0,505244.0,471019.0,34225.0,213523.0,154.6,142.0,12.6,19.4,165889.0,165239.0,3589.0,4239.0
2002,J,M,499821.3333333333,377832.3333333333,358094.3333333333,19738.0,121989.0,153.1,144.4333333333333,8.666666666666666,19.566666666666666,1219729.0,1218404.0,25849.0,27239.0
2002,J,T,511605.0,383259.0,361833.0,21426.0,128346.0,153.8,144.6,9.2,19.5,1385618.0,1383642.0,29439.0,31479.0
2002,O,4,698250.0,489004.0,473543.0,15461.0,209246.0,149.0,143.6,5.4,19.6,31583.0,31575.0,378.0,376.0
2002,O,M,586798.0,424284.0,416380.0,7904.0,162514.0,150.43333333333334,144.96666666666667,5.466666666666666,19.233333333333334,1999047.0,1998895.0,29912.0,30071.0
2002,O,T,571079.0,415281.0,407965.0,7316.0,155798.0,152.0,146.4,5.6,19.3,2030630.0,2030470.0,30291.0,30448.0
2002,P,4,524837.0,403063.0,362036.0,41027.0,121774.0,163.0,151.5,11.5,20.1,409349.0,409715.0,5982.0,5630.0
2002,P,M,395700.3333333333,311163.0,294937.0,16226.0,84537.33333333333,159.33333333333334,153.36666666666667,5.966666666666666,20.53333333333333,2584925.0,2588593.0,40820.0,38116.0
2002,P,T,414712.0,325327.0,305047.0,20280.0,89385.0,159.8,153.0,6.8,20.5,2994273.0,2998308.0,46802.0,43745.0
2002,Q,4,539997.0,405489.0,375915.0,29574.0,134508.0,155.9,144.2,11.7,19.0,14921.0,14881.0,218.0,254.0
2002,Q,M,423621.6666666667,321720.3333333333,308525.6666666667,13194.666666666666,101901.33333333333,156.23333333333335,149.4333333333333,6.8,19.833333333333332,512382.0,511983.0,6665.0,7084.0
